Tahun;Judul Kegiatan;Klasifikasi;Definitif;DIPA Awal;Revisi 1;Revisi 2;Revisi 3;Revisi 4;Revisi 5;Revisi Akhir;Output Tahunan;Output Akhir;Realisasi Anggaran;Sisa Anggaran
2020;Kajian Beberapa Vub Padi Dengan Paket Teknologi Largo Super pada Lahan Marginal di Jawa Barat;RPTP;219356000;219356000;189006000;189006000;150816000;150816000;150816000;150816000;-;-;-;-
2020;Paket Teknologi Pengendalian Organisme Pengganggu Tanaman PBKo dan Nematoda Pada Tanaman Arabika;RPTP;100000000;100000000;74850000;74850000;6586000;6586000;6586000;6586000;-;Terdeseminasikannya teknologi pengendalian penggerak buah kopi (PBKo) pada tanaman kopi arabika kepada petugas dan petani;-;-
2020;Kajian Terpadu Manajemen Pemeliharaan Ternak Sapi Potong;RPTP;201250000;201250000;135161000;135161000;19886000;19886000;19886000;19886000;"1.Karakterisasi lokasi pengkajian dan peternak kooperator
2.Analis Persepsi dan respond peternak terhadap inovasi teknologi yang diintroduksikan
3.Analis persepsi dan kualitas produk ternak sapi potong";"1.Peningkatan kuantitas dan kualitas produk ternak sapi potong
2.Peningkatan efisiensi usaha, diversifikasi dan nilai tambah produk ternak sapi potong";-;-
2020;Kajian Adaptasi dan Preferensi Konsumen Kentang Median sebagai Bahan Baku Industri Olahan Berbasis Pertanian 4.0;RPTP;200000000;200000000;177200000;177200000;69226000;69226000;69226000;69226000;-;-;-;-
2020;Pendayagunaan Hasil Litkaji BPTP Jawa Barat;RDHP;345986000;345986000;201411000;201411000;27790000;27790000;27790000;27790000;-;-;-;-
2020;Pendampingan Kawasan Pertanian Nasioanal;RDHP;300000000;300000000;243200000;243200000;36662000;36662000;36662000;36662000;-;-;-;-
2020;Pengelolaan Tagrinov;RDHP;509074000;509074000;211150000;211150000;136627000;136627000;136627000;136627000;-;-;-;-
2020;Pemetaan Potensi Sumberdaya Pertanian Wilayah;RDHP;100000000;100000000;49025000;49025000;9025000;9025000;9025000;9025000;-;-;-;-
2020;Kawasan Toga Mandiri Antisipasi Covid 19 di Jawa Barat;RDHP;-;-;590000000;590000000;-;-;-;-;-;-;-;-
2020;Pendampingan Pelaksanaan Program dan Kegiatan Utama Kementerian Pertanian;RDHP;1000360000;1000360000;399100000;399100000;201949000;201949000;201949000;201949000;-;-;-;-
2020;Pendampingan Upaya Khusus Sapi Indukan Wajib Bunting (SIWAB);RDHP;100000000;100000000;66675000;66675000;4870000;4870000;4870000;4870000;"1.Karakterisasi calon peternak kooperator dan calon lokasi display pendampingan program UPSUS SIWAB
2.Gambaran kebutuhan inovasi teknologi di lokasi pendampingan program UPSUS SIWAB
3.Keragaan data capaian UPSUS SIWAB di Provinsi Jawa Barat";Mempercepat peningkatan populasi ternak sapi melalui peningkatan angka kebuntingan induk di Provinsi Jawa Barat;4865100;4900
2020;Pendampingan Kelembagaan Pengembangan Ayam KUB Skala Rumah Tangga;RDHP;-;-;225770000;225770000;209620000;209620000;209620000;209620000;-;-;-;-
2020;Unit Perbibitan Komoditas Peternakan Non Strategis (Ayam KUB);RDHP;168995000;168995000;215370000;215370000;41307000;41307000;41307000;41307000;-;-;-;-
2020;Pengembangan Ayam Kampung Unggul Berbasis Rumah Tangga;RDHP;-;-;8944466000;8944466000;-;-;-;-;-;-;-;-
2020;Pemanfaatan Sumber Daya Genetik Varietas Lokal dalam Perakitan Varietas Unggul Spesifik Lokasi;RDHP;93487000;93487000;87562000;87562000;38440000;38440000;38440000;38440000;-;-;-;-
2020;Pengembangan Inovasi Teknologi Untuk Peningkatan Indeks Pertanaman Di Jawa Barat;RDHP;327204000;327204000;248954000;248954000;55380000;55380000;55380000;55380000;-;-;-;-
2020;Peningkatan komunikasi Penyuluh di Jawa Barat;RDHP;272224000;272224000;212849000;212849000;171939000;171939000;171939000;171939000;-;-;-;-
2020;Temu Tugas Peneliti-Penyuluh Balitbangtan dan Penyuluh Daerah di Provinsi Jawa Barat;RDHP;300000000;300000000;215050000;215050000;128169000;128169000;128169000;128169000;-;-;-;-
2020;Desentralisasi Produksi dan Diseminasi Benih Sumber;RDHP;174745000;174745000;126695000;126695000;30209000;30209000;30209000;30209000;-;-;-;-
2020;Pengembangan Kawasan Pertanian Berbasis Inovasi (KPI);RDHP;300000000;300000000;215525000;215525000;95275000;95275000;95275000;95275000;-;-;-;-
2020;Produksi Benih Sumber Padi 1 TON BP;RDHP;26646000;26646000;26646000;26646000;11191000;11191000;10673000;10673000;-;-;-;-
2020;Produksi  Benih Sebar Padi ( 5 ton ES);RDHP;116918000;116918000;108953000;108953000;54995000;54995000;55513000;55513000;-;-;-;-
2020;Produksi Benih Sebar Padi Nutri Zinc (62,5 ton ES);RDHP;625000000;625000000;600350000;600350000;250123000;250123000;250123000;250123000;"1.Benih Sebar VUB Padi Inpari Nutri Zinc sebanyak 25 ton
2.VUB Inpari nutri zinc yang dihasilkan oleh BPTP Jawa Barat dapat menyebar di kabupaten/kota di Jawa Barat";Adopsi VUB padi nutri zinc di tingkat petani meningkat dalam upaya mendukung peningkatan kesehatan masyarakat di Jawa Barat;250108416;14584
2020;Perbanyakan Benih Sumber Padi  Biofortifikasi (1.5 Ton);RDHP;60000000;60000000;56650000;56650000;24015000;24015000;24015000;24015000;-;-;-;-
2020;Produksi Benih Sumber Kedelai (17.5 ton SS);RDHP;788735000;788735000;422757000;422757000;309243000;309243000;309243000;309243000;-;-;-;-
2020;Pengujian Multilokasi Pupuk Nitralite pada Tanaman Padi Sawah di Jawa Barat (Kegiatan yang dibiayai PNBP);RDHP;50787000;50787000;50787000;411615000;411615000;411615000;411615000;411615000;-;-;-;-
2020;Dukungan Perbenihan Benih Sebar Komoditas Bawang Merah 402 kg;RDHP;12060000;12060000;-;-;-;-;-;-;-;-;-;-
2020;Uji Efektivitas Organik Cair Phonska Oca terhadap Peningkatan Produksi Tanaman Padi;RDHP;-;-;-;-;-;-;43651000;43651000;-;-;-;-
2020;Pengkajian dan Diseminasi Teknologi TURIMAN dengan Aplikasi Pupuk Hayati BIORIPAH dan Pupuk Mikro NUTREMAG;RDHP;-;-;-;-;-;-;41411000;41411000;-;-;-;-
2020;Uji Efektivitas Pupuk Organik Cair Kujang terhadap Pertumbuhan dan Produksi Tanaman Cabai Merah Besar;RDHP;-;-;-;-;-;-;40898000;40898000;-;-;-;-
2020;Produksi Benih Cabai Merah 16 kg;RDHP;200000000;200000000;197825000;197825000;78475000;78475000;78475000;78475000;-;-;-;-
2020;Dukungan Perbenihan Benih Sebar Komoditas Mangga 8000 btg;RDHP;157500000;157500000;155325000;155325000;84856000;84856000;84856000;84856000;-;-;-;-
2020;Dukungan Perbenihan Benih Sebar Komoditas Manggis 500 btg;RDHP;13500000;13500000;13500000;13500000;5700000;5700000;5700000;5700000;-;-;-;-
2020;Dukungan Perbenihan Benih Sebar Komoditas Kopi Robusta 12000 phn;RDHP;132000000;132000000;114725000;114725000;76459000;76459000;76459000;76459000;-;-;-;-
2020;Penyusunan Rencana Kegiatan dan Program;RKTM;213926000;213926000;144252000;144252000;65804000;65804000;65804000;65804000;-;-;-;-
2020;Evaluasi dan Pelaporan;RKTM;137585000;137585000;93750000;93750000;28445000;28445000;28445000;28445000;-;-;-;-
2020;Koordinasi Manajemen Pengkajian;RKTM;53385000;53385000;43450000;43450000;43450000;93450000;93450000;93450000;-;-;-;-
2020;Layanan Sarana dan Prasarana Internal;RKTM;500000000;500000000;524900000;524900000;329900000;329900000;329900000;329900000;-;-;-;-
2020;Layanan Manajemen Kepegawaian, Rumah Tangga dan Perlengkapan;RKTM;197427000;197427000;165025000;114238000;114238000;114238000;114238000;114238000;-;-;-;-
2020;Dukungan Operasional Penyusunan Laporan Keuangan SAI Pada Sekretariat UAPPA/B-W TA.2020;RKTM;460163000;460163000;286840000;286840000;119325000;119325000;119325000;119325000;-;-;-;-
2020;Kerjasama;RKTM;27084000;27084000;27084000;77871000;12642000;12642000;12642000;12642000;-;-;-;-
2020;Layanan Keuangan;RKTM;164313000;164313000;131800000;131800000;102983000;102983000;102983000;102983000;-;-;-;-
2020;Pengelolaan Instalasi Pengkajian/Laboratorium Kebun Percobaan Cipaku (koleksi Tanaman Plasma Nutfah, Varietas Unggul, Pohon Induk);RKTM;100000000;100000000;100000000;100000000;73950000;73950000;73950000;73950000;-;-;-;-
2020;Kegiatan Yang Dibiayai PNBP;RKTM;125433000;125433000;125433000;176220000;176220000;176220000;176220000;176220000;-;-;-;-
2020;"Layanan Perkantoran
[Base Line]";RKTM;10807588000;10807588000;10807588000;10807588000;10807588000;10953988000;10968988000;10968988000;-;-;-;-
2020;Layanan hubungan masyarakat dan informasi pengkajian dan pengembangan teknologi pertanian;RKTM;92802000;92802000;40240000;40240000;25465000;25465000;25465000;25465000;-;-;-;-
2021;Kajian Paket Teknologi Largo Super pada Lahan Marginal di Jawa Barat;RPTP;210.000.000;210.000.000;0;0;0;-;-;-;-;-;-;-
2021;Manajemen pemeliharaan terpadu ternak sapi potong ;RPTP;215.000.000;215.000.000;0;0;0;-;-;-;-;-;-;-
2021;Paket  teknologi budidaya,pengolahan limbah dan pascapanen kopi;RPTP;300.000.000;300.000.000;0;0;0;-;-;-;-;-;-;-
2021;Manajemen pemeliharaan terpadu ternak domba pada pola pemeliharaan ekstensif;RPTP;150.000.000;150.000.000;0;0;0;-;-;-;-;-;-;-
2021;Pengembangan pakan ubi lokal kayu;RPTP;1.000.000.000;1.000.000.000;0;0;0;-;-;-;-;-;-;-
2021;Pendayagunaan hasil litkaji BPTP Jawa Barat;RDHP;200.000.000;200.000.000;100000000;100000000;-;-;-;-;-;-;-;-
2021;pendampingan inovasi dalam pengembangan kawasan pertanian berbasis korporasi pertanian;RDHP;250.000.000;250.000.000;0;0;-;-;-;-;-;-;-;-
2021;Pengelolaan TAGRINOV;RDHP;200.000.000;200.000.000;90000000;90000000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbibitan Ternak Itik;RDHP;-;-;188250000;188250000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbenihan Kentang;RDHP;-;-;326750000;326750000;-;-;-;-;-;-;-;-
2021;Pemetaan potensi sumberdaya pertanian wilayah;RDHP;200.000.000;200.000.000;0;0;-;-;-;-;-;-;-;-
2021;Demplot pengembangan VUB padi khusus dan VUB spesifikasi lokasi;RDHP;1.200.000.000;1.200.000.000;900000000;900000000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbenihan Kedelai;RDHP;-;-;530775000;530775000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbenihan Bawang Putih;RDHP;-;-;351312000;351312000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbenihan Bawang Merah;RDHP;-;-;1002600000;1002600000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbenihan Padi;RDHP;-;-;751563000;751563000;-;-;-;-;-;-;-;-
